"","MEdarkorange","MEdarkturquoise","MEdarkred","MElightcyan","MEroyalblue","MEyellow","MEdarkgreen","MEgrey60","MEsaddlebrown","MEwhite","MEmagenta","MEdarkgrey","MEturquoise","MEbrown","MEpurple","MEblue","MEblack","MEcyan","MEgrey"
"F11",-0.0657225310328342,0.0174603193420152,-0.113060715698027,0.161669042014342,-0.132486470644496,-0.0878582824289951,-0.24637311186936,-0.361931246492991,-0.0444387353076864,-0.358548422941928,-0.0171365867906111,0.163867685861219,0.0480307697170733,0.151276256547791,-0.11538890520184,-0.0949505251833571,0.134891432801769,0.0881429803296453,0.087019070147174
"F13",-0.148784382051727,-0.329620670946923,-0.204910832443451,-0.0312402754009241,0.190189798783767,0.265175168040232,0.143681198472298,0.0417627150577785,0.0199465064478299,0.152641649668798,0.131488301139044,0.11147164966968,-0.0389907357822207,-0.0909368798084789,0.0191468486718542,-0.126844860101376,-0.256306089381529,-0.203867713693816,-0.0531187255624917
"F14",-0.0409395887676119,0.0521552306630327,-0.0619981468617827,-0.0366354866782115,0.0168209561389363,0.267091395194956,0.00395830570077675,0.135979621117538,-0.0335680548877482,0.0158897493838737,-0.318412176616234,0.0823155265065996,-0.177069443210642,0.281368090165837,0.318358036386016,-0.14110654719404,-0.309408423141614,0.193385246729244,-0.175800342096778
"F15",-0.140082279762393,0.0386391947561851,-0.206597011859347,-0.0990818861359665,0.0726320623961509,0.0686145509828424,0.0195609551214635,0.20373815475274,0.0211202910723153,0.166342404906472,0.187641210744029,0.190953277816821,-0.0639793580519215,0.103645439629331,-0.251305379641182,-0.22062335630288,-0.286400346964912,-0.148586669040143,-0.0314540065251255
"F16",-0.0915215566244511,-0.0561803883756373,-0.102077962157,-0.0351043371774352,-0.0259646913478127,0.184297474048498,0.323084265135182,0.113245175510703,-0.0902646959016981,0.153997397365791,0.198293666005432,-0.0984251601897392,-0.306735641605836,-0.24135355745054,-0.0654611213024673,0.00409954893131381,-0.314802333781771,-0.193793307695017,-0.253988441738258
"F18",-0.00885667321540993,0.00225028510263002,0.0540201602872811,0.284275339344057,0.215535801268546,0.319318718612787,0.0477170411854971,-0.292053730992786,-0.0157531233960626,-0.18379180730114,0.218060593021001,0.0938982784943572,-0.0718369305574009,-0.172489490409354,0.038798772021706,0.214682055397359,-0.39316187444253,-0.139297310367194,-0.0239682450158811
"F19",0.0602435775606512,-0.146047428670491,0.604216484092629,0.299272430859403,0.334384027538859,0.456094298914898,0.0111657101766875,0.0931271871291705,0.000165477680756088,0.0849837774496637,0.212265308233108,0.0017765667854681,0.0177517691738973,0.348878802781506,0.399231105261365,-0.0920793069656115,-0.273407630900178,-0.237948936629061,-0.128820365258981
"F20",-0.0503104939661296,-0.414021581633609,-0.104557253812485,0.244449256230431,0.153896668716814,0.334215339058256,-0.160558825164099,-0.117730329597116,-0.902430653814879,-0.373704378578228,-0.0544872461886367,0.302572979196458,0.0876067576931657,0.064029227943118,-0.126471369749114,-0.175540857137376,-0.224807793457209,-0.0855321253386634,0.104675863547343
"F21",0.108975510804509,0.372283672548593,0.553020537843177,0.211250199657365,-0.0364731498411529,0.182968276533255,0.0590120136791299,-0.125837816513927,-0.0832365700980198,-0.174447213211819,-0.265501707365589,-0.61573364210571,-0.441158843069108,-0.118972700040127,0.0484507824084379,-0.225285560526323,-0.138682044667057,-0.381621990066295,-0.52288227378115
"F23",-0.0219527226624694,0.0375128711021733,0.0716661779422373,-0.243877859286755,0.195102698227997,-0.0572961966620522,-0.102999238592517,0.203453276410667,0.145511705417849,0.115253263117619,-0.0710882525432757,0.297860070520326,0.316455190356174,0.11001907963479,0.0876667797163914,-0.118675349797265,0.227499620647226,0.0904158006352861,0.357350884991826
