,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
MAP1S,21.128832,22.148525,22.68221,22.97212,23.552355,22.853104,23.130465,23.315542,22.437935,22.850266,23.74633,23.210894,22.16594,22.444899,23.23351,21.110815,22.481638,22.850779,22.91933,20.212954,22.958164,22.5235,22.791916,22.784348,22.346386,22.933474,22.632944,23.813519
EIF2S1,23.491123,23.403616,23.928455,24.41777,24.679976,23.04734,23.388584,23.151745,23.491158,23.618977,24.245617,23.786612,24.091745,24.240082,23.314844,23.20548,23.67137,23.931812,24.565022,22.816177,24.565645,23.4111,23.858427,23.532959,23.596344,23.32972,24.22499,23.478615
PC,21.397423,21.27646,21.767231,22.575686,22.464664,21.189077,21.900866,22.834843,22.146408,22.109257,22.805597,22.160158,22.133404,22.51505,22.736547,21.807251,23.114906,22.141403,22.673882,20.665237,21.539549,22.500292,22.79023,21.490635,21.336205,22.931328,23.078657,22.120567
METTL7A,20.70702,22.39066,23.86022,21.27672,24.199604,23.519917,23.407883,24.602182,23.886091,22.770823,24.71627,22.1311,24.447332,23.132517,21.809526,22.453115,22.951078,23.803076,25.043068,21.945501,22.388119,21.709068,20.523903,22.80294,23.884321,20.841154,22.311626,22.56984
CPNE1,23.368822,23.741512,24.693768,25.273926,24.434801,23.404512,24.921827,22.528236,23.856554,24.60403,23.268063,23.79419,22.757814,24.137854,21.947275,22.079065,22.655533,23.905146,22.69561,22.037779,23.993586,23.651342,23.626328,23.209488,23.999859,22.058773,23.367853,22.446455
STRAP,22.198074,22.970615,24.255423,23.13277,23.366045,21.88986,23.332209,23.258036,22.27682,23.251247,23.585756,23.931984,23.429583,23.364256,22.999022,21.887617,24.14182,22.352057,23.91434,21.659273,23.989634,23.158993,23.68927,23.315613,22.66915,23.33237,23.977497,23.095837
SEC14L2,21.280838,22.912685,20.871054,21.046276,23.981573,22.98214,21.508247,23.71245,23.471767,20.713337,23.6331,21.930286,23.3489,21.39304,22.143358,22.83707,23.77913,25.347387,24.256666,23.172428,24.0491,22.461506,23.077604,24.28569,22.967087,23.415535,23.147043,23.79077
RAB1A,20.470478,21.71007,16.812838,20.54543,20.720325,20.787737,19.709993,20.705276,20.206638,20.51304,20.63028,19.79464,19.411245,11.688439,20.516666,18.985025,19.902323,19.738934,20.23881,19.153671,22.891933,21.690308,22.563112,22.0422,21.715061,22.34155,22.24443,22.72792
RPS13,25.633776,23.934149,24.672852,24.093502,24.566156,22.384193,23.658302,23.26796,22.618748,23.206676,23.47699,23.39395,22.586985,23.196774,22.853563,21.150906,23.111544,23.99924,23.35124,23.070534,24.79173,24.31365,24.373154,23.034288,23.526325,22.942749,25.382708,23.627657
EFHD2,24.007563,23.42989,22.29067,22.870472,21.144108,23.089638,22.806442,21.728386,22.846365,22.819698,22.244503,22.25652,22.644945,22.553257,23.206728,23.149073,23.805151,23.9097,22.483868,23.373568,24.387075,22.53096,24.084106,23.072487,24.20888,24.631994,23.11062,24.709377
ATAD3A,20.027037,20.417063,21.818823,22.231367,22.804195,20.871973,21.92403,22.464348,21.60238,21.84333,22.669107,21.447266,21.909985,22.453714,21.617867,20.661707,20.208635,21.022053,22.713629,20.372509,21.548868,21.155527,20.98075,20.435154,21.284357,21.498156,22.18133,20.923075
TPP2,18.523193,19.827059,22.102728,22.367609,21.63999,20.89538,22.227173,21.82109,20.894762,22.015285,22.287987,21.4879,19.89814,22.238815,21.57429,17.559616,21.763786,19.597301,21.81357,17.370323,22.401266,21.84008,22.606731,21.497244,22.653292,21.810324,22.39555,21.758701
DCTN2,23.253962,20.198448,23.427654,22.157091,22.328934,21.45789,22.326162,22.584044,22.420044,22.159714,22.441177,23.369818,22.338688,22.908121,23.08854,21.086025,23.62365,21.52203,22.906706,20.972485,24.16425,23.21529,23.80684,22.801537,22.122894,23.203964,23.033373,23.792265
ADPRHL2,19.222208,22.791954,22.063087,22.5822,22.99112,23.570187,23.059177,21.370808,22.469582,22.00234,22.103588,22.55223,22.882357,23.026955,22.125013,21.79857,22.285872,23.30634,23.20545,21.542715,22.463638,21.187235,21.579967,21.655464,21.553526,22.198603,21.66917,21.013958
IGSF8,20.735838,23.55055,20.942314,19.764101,20.893147,16.7422,20.986855,20.52869,21.733337,21.308928,20.652197,21.064053,17.892889,22.389856,23.642145,20.027027,23.432331,19.757778,21.241686,22.395163,19.89209,23.362112,25.390076,24.760841,20.986055,25.860973,22.648458,26.423576
CTBP1,23.332699,23.298035,22.857323,23.929691,23.956543,23.14767,24.252962,23.203983,23.285109,24.099247,23.644306,22.698282,23.00723,23.869877,21.939941,21.596516,22.689814,22.71315,23.410633,19.626932,23.353975,22.591938,22.744537,22.225605,22.321678,23.357954,23.40729,23.753716
FARP1,21.69839,23.405476,22.117683,23.348898,24.256838,22.51251,22.908314,23.12903,23.413677,23.358282,24.14458,22.465918,23.334795,22.946955,22.58669,21.803045,22.571991,20.658516,23.879591,18.581106,23.682945,22.769432,23.664402,23.758518,23.531403,23.213436,23.50055,23.144033
FHL1,22.590628,23.728996,24.085852,22.116373,23.851788,24.01996,23.313702,22.962194,23.772736,22.767683,24.515226,24.796724,24.646023,23.437496,24.62195,22.911549,24.676432,23.210104,24.394814,21.682714,24.589968,25.066504,24.740316,24.600449,22.609495,23.821314,23.994638,23.919434
S100A7A,20.165836,19.961048,19.924934,20.232311,20.36303,19.289925,19.526777,23.305634,19.531641,19.665943,19.770172,19.376348,19.152006,19.37269,18.936846,18.221043,19.30441,19.401628,19.583368,18.859814,19.763203,19.222113,19.580137,19.173002,19.276207,19.545105,19.628925,19.715181
SHPK,23.417646,24.086967,22.733452,23.809147,23.552721,24.413307,24.108612,23.249607,24.17975,23.941374,23.704302,22.35134,23.63023,23.404518,20.952618,21.003326,21.961422,23.166948,23.229126,20.446873,22.82518,21.414034,21.516962,22.10581,23.145681,22.479345,20.231184,21.465242
PDCD6,22.34524,24.105743,23.291073,23.594563,23.539944,22.680521,22.5216,22.180569,21.789856,22.65023,22.725487,22.47303,23.035326,23.222723,22.580284,24.652538,22.438229,23.774784,22.749426,22.034409,23.519659,23.024815,23.561369,22.892252,23.320244,22.690353,23.485624,23.593863
DST,20.958546,21.310827,20.162815,20.99057,21.262665,19.672392,20.308468,21.614958,21.11915,19.099562,21.616962,20.010344,20.19013,20.224228,21.196648,19.794777,21.259193,18.734776,21.498743,17.123783,21.98536,22.166357,22.92379,22.411385,20.58979,22.652792,21.820065,22.627
TFG,21.38797,22.704838,22.552004,22.351168,22.464964,23.39568,22.750298,21.505993,22.487038,22.480156,22.68056,22.403763,22.448118,22.360226,22.338781,22.632328,21.707819,22.385197,23.45965,21.936459,22.45323,20.573175,22.201977,21.224623,21.841263,21.248741,22.10537,21.80828
NRCAM,21.5513,23.842522,21.528023,22.58991,22.086796,23.528866,21.839489,21.79104,23.482914,22.68522,22.80809,22.959818,23.420424,22.362057,23.895275,21.945366,23.520555,24.897638,22.304722,22.473871,23.284714,23.198183,23.730034,24.927513,23.477018,24.725418,23.256754,24.929104
UBAP2L,21.75805,22.84876,22.965694,23.003138,22.247679,20.852272,22.161701,22.04535,21.988083,22.490536,23.186846,22.287214,21.979633,22.467518,21.042171,19.132849,22.55722,21.29205,22.3782,19.417093,22.916588,21.620472,22.583452,21.768896,21.804539,22.482061,22.431282,22.42077
SAE1,21.213614,21.307865,21.840305,22.495739,22.489992,21.935724,22.350504,21.127588,21.954998,21.465124,21.470417,21.649612,21.281239,22.451166,20.696175,19.479858,20.550299,19.157839,21.921392,19.6669,21.991425,19.805357,20.00944,19.827541,20.45551,19.91405,21.700314,21.508955
PSMA3,23.016113,23.819754,23.258627,24.129774,24.038342,23.84771,23.524334,23.672228,23.029745,23.352573,24.04339,22.937721,23.246374,23.627502,23.014687,22.805462,22.701502,23.603498,23.648186,22.298975,23.623783,22.353241,22.770987,22.751942,23.188114,22.849522,22.768944,23.150187
S100B,22.671038,24.180822,25.646534,24.184486,24.37302,24.145164,24.295612,23.57829,23.60874,23.551224,24.056293,25.322191,23.345371,23.747309,23.103125,26.370205,22.617985,23.12702,23.613626,21.131237,24.661312,22.201927,23.550259,23.172792,23.572315,24.409107,24.225857,23.500448
CBX3,23.63996,23.208422,23.69005,24.376434,22.791758,22.485723,23.062737,22.746155,21.222841,23.579647,22.175035,23.122782,22.675907,24.14895,22.624504,20.234268,23.28982,22.16132,23.562292,21.930666,24.19277,20.9126,22.586723,22.011274,21.395796,21.875034,23.30927,22.120302
SET,25.712141,25.83566,25.495832,25.586416,25.565163,25.943085,25.68223,25.468576,24.837797,25.64156,25.756441,26.15708,26.151566,25.960037,24.870197,25.44596,26.27504,25.851048,26.134903,25.875013,25.8593,23.352861,24.719551,23.895123,23.497305,24.35413,24.842367,24.584253
TGM2,23.685022,21.844145,21.541666,21.697271,21.069416,21.226568,21.725403,20.4272,21.469957,22.007425,20.034842,21.991121,22.658978,21.458353,21.919054,21.273956,22.664602,25.628653,21.563097,23.302456,23.681154,23.428701,22.469933,23.51114,23.250546,21.55123,22.45586,21.148901
VDAC2,26.342577,24.433949,23.506596,23.58366,23.752384,23.917,23.034012,24.709528,23.96288,23.246138,24.25651,22.961868,23.444115,22.974915,23.651752,23.467354,24.46769,25.141964,23.883953,25.168756,22.765356,23.342854,23.980223,22.824734,23.04336,24.337044,23.540415,23.937634
SNRPA,24.107725,22.736727,23.703033,23.296452,23.152355,22.557701,23.46446,22.664137,22.468544,23.447355,23.107874,23.152351,22.928047,23.37147,22.82358,19.686686,22.737915,22.26254,24.004501,20.465672,23.789038,22.90567,23.21796,22.70305,22.40924,22.446709,23.624147,22.671383
TOP1,22.937323,21.937778,22.32833,21.698206,22.335247,20.237505,22.167185,22.18056,20.666187,21.642536,21.828053,23.056345,21.770973,22.823227,21.387863,18.114668,22.666666,22.20424,23.544823,20.57263,22.419369,20.544472,21.825983,18.435535,20.626022,19.54141,21.635508,19.559671
GRHPR,22.019823,22.415382,23.110067,22.119295,22.827412,23.606487,22.805546,21.367449,23.7319,21.602524,21.990622,21.794052,22.897785,21.17497,21.700167,22.770056,21.992998,22.726364,21.911402,20.765608,22.414963,21.644041,22.22443,22.585133,21.452364,22.531492,19.227581,22.840748
RBM39,22.868212,22.374586,22.439465,23.545845,22.985382,22.202393,23.230566,22.378277,22.225004,23.27275,22.644295,21.666798,20.99069,23.056688,20.730717,18.908176,21.28937,20.91792,21.851145,19.921627,22.044573,21.236109,19.759113,18.898016,20.91017,19.705334,21.806208,20.017626
2023-09-05 00:00:00,20.064352,20.421957,20.295744,17.439365,17.795458,18.355736,21.468616,20.497963,19.820631,20.847692,21.544226,21.244375,20.674376,20.285555,22.0039,19.325966,23.292091,20.620085,21.445995,18.839054,23.880999,23.772537,24.258255,23.177992,21.525995,24.564318,22.53411,26.2601
SLC25A11,23.61959,22.179495,22.390614,20.455446,23.22559,22.211107,23.171661,23.777168,22.893696,22.875912,23.787199,23.440477,23.191164,23.459099,23.380932,22.210052,24.230673,23.60789,24.410786,23.68888,23.228924,23.257702,23.42836,22.243807,23.177736,23.822653,23.747793,23.128042
USP7,21.286127,19.932457,20.981092,21.497242,21.986916,19.685455,21.204191,20.786844,21.073215,21.85435,20.263777,22.038126,21.55893,22.725567,21.505339,19.425344,22.077288,21.42301,22.385073,20.497217,21.049805,20.286045,20.825941,19.435766,20.491228,20.666693,21.422865,21.167791
SLC25A5,24.189955,22.072365,22.724213,21.952005,22.424015,19.15774,21.462318,21.979445,20.846373,20.858374,20.81184,20.780891,20.770744,21.01806,20.788565,19.684258,21.525242,22.670822,21.91569,22.991144,19.845287,20.17411,20.864643,20.634926,22.033495,20.334227,21.289474,20.51718
HSP90AB4P,21.205595,20.059061,20.956953,20.881607,20.514967,20.407297,21.484882,20.344072,20.809267,21.03668,21.428764,22.05108,20.780827,21.161768,20.571552,17.268032,21.995958,21.99858,22.476915,19.913857,22.11681,18.385769,21.474579,20.243652,22.20393,21.621479,22.714325,21.6532
MYO18A,20.465212,20.633554,19.355537,21.697945,20.464428,21.123852,21.766075,21.53821,21.141478,21.54526,21.956776,21.83129,21.437584,21.046764,21.916674,19.550224,22.263596,22.434425,22.482521,22.14882,22.766113,23.375195,23.124039,22.164503,21.226564,22.753094,21.971296,23.487988
LGALS7,21.40646,21.512655,19.895433,21.96998,21.139631,21.873348,21.29506,27.357086,20.418137,22.624874,19.123789,18.808817,21.04316,18.875885,21.729103,20.51976,20.891535,20.912598,19.943201,20.421736,17.980272,17.50156,23.409357,19.875235,19.267994,19.52802,18.755787,20.803286
POR,22.61194,21.506512,21.588898,22.113495,22.24547,21.524607,22.6712,22.083895,22.481474,21.737476,21.343933,21.787264,21.642015,21.187872,21.853857,20.083237,21.917765,22.28115,21.700655,20.927107,22.611437,23.023148,22.191898,20.924763,21.174587,21.741182,22.777523,21.986069
PRR36,20.30045,19.373667,20.690746,22.287455,22.128342,17.698195,21.77851,17.476814,18.03485,21.862385,20.938368,21.413177,19.501865,21.887701,19.926174,18.1769,20.921856,16.519787,19.663382,18.986279,21.118015,19.622066,21.068153,20.130095,19.460405,22.23762,20.959833,21.844378
CHCHD3,23.904146,23.812796,24.023434,23.70207,24.072569,22.810833,22.5907,22.618065,23.560308,22.907917,23.71387,23.73055,23.669613,23.281883,23.228874,22.760141,24.18344,24.058006,23.923319,23.342125,23.976748,24.067959,23.739532,22.898403,23.28724,23.820906,24.232695,23.795628
RAB5B,20.959291,21.365244,22.240755,20.702335,21.604992,22.424923,21.910233,22.630299,22.41953,22.308916,22.841444,20.795908,20.833876,20.124443,20.645273,19.811628,21.212439,20.5173,21.799223,18.71476,22.575464,22.367018,22.918533,22.360332,21.68313,22.638462,22.502281,23.335358
BAX,20.742193,23.184092,22.602242,24.024399,22.803717,23.230272,23.648354,22.338037,23.069405,22.518373,22.192232,22.706842,23.15695,23.644224,21.199856,21.71653,20.974463,22.517014,22.41078,21.011017,22.579563,20.430456,21.493593,22.148375,21.345541,21.81308,21.349573,22.070364
DIP2B,21.396309,20.894258,21.945263,20.903708,19.457617,20.417847,21.717892,21.200386,21.459568,21.6754,21.960238,21.72464,21.792831,21.832323,21.041714,19.396667,21.810404,19.646967,21.235384,18.384506,22.479107,21.464779,22.52637,21.419165,21.547974,22.25032,22.686495,22.058048
SERPINB4,20.085299,19.81567,19.778282,17.985949,17.870356,19.239756,17.604013,23.801311,18.627436,19.465216,19.615852,19.270988,20.297007,18.476377,17.151411,18.296877,17.550884,19.370594,18.872581,20.078703,19.327188,16.481085,22.081976,19.056957,17.732056,19.447071,17.822208,19.641335
PSME1,23.665924,23.82701,22.583107,23.534103,24.003765,24.074196,24.184761,23.917185,23.95737,24.04388,24.058052,23.052216,23.880642,23.973532,22.828455,22.283657,22.634617,24.21937,24.25424,23.861296,24.137787,23.08155,22.798012,23.8398,23.723251,23.039465,23.087769,24.03521
TOR1AIP1,22.4459,22.302937,21.393711,23.226664,22.61585,22.706877,23.468718,22.817673,22.792551,23.354498,22.965626,20.71372,21.556276,21.997889,20.771149,19.766088,20.289854,21.090105,21.439957,20.508263,22.688961,22.681427,21.553333,21.404106,21.78248,21.043215,21.942726,21.182384
FBN1,24.502861,22.966219,21.7238,22.868113,24.315214,21.371767,21.514187,20.145805,21.126547,22.071716,20.739151,20.482582,21.683765,21.416838,21.874544,23.634996,20.89483,24.33814,21.779089,23.458324,20.419111,22.859198,22.618145,21.293854,22.856815,16.887005,21.273243,19.404095
GPR56,23.483519,24.454756,22.959867,23.969542,24.053793,24.421875,23.33951,23.520132,23.892567,23.348726,24.22048,22.907906,24.416382,23.356628,22.182135,17.897713,23.357075,21.557919,24.175308,21.668629,24.037914,22.292028,23.159912,22.832508,24.49834,22.458141,23.313429,22.805853
NOP56,24.205872,22.348284,22.442461,22.603676,23.017326,22.00171,23.807295,21.826921,22.47341,23.42702,22.617048,22.511951,22.954393,23.513945,22.477177,20.293188,23.04747,23.940422,23.584276,22.52426,22.16955,22.36418,21.220152,19.731598,21.776915,20.108395,23.269142,21.344023
THY1,19.740475,23.587204,24.606646,23.191095,22.385046,22.999884,23.624233,21.698753,21.735428,22.512144,22.584835,24.286144,23.345842,23.435757,24.785902,22.157646,24.849716,24.757233,23.040436,23.912317,23.336313,22.896086,25.501957,23.6112,24.042347,25.651232,23.657434,26.565254
RPL13,25.629585,24.945782,25.48466,25.909807,25.459208,23.629168,25.402624,23.969355,24.098486,25.121132,24.618332,24.570255,24.27809,24.999775,24.35052,22.670975,24.910746,25.411306,24.530119,23.000477,25.786928,25.648327,25.756708,24.359802,24.808493,24.45759,26.038385,24.585709
PSMD13,22.80927,22.912857,23.179464,23.546764,23.519827,22.624985,23.558884,23.17885,22.999552,23.23487,23.54173,23.73635,23.589088,23.566223,23.41712,22.27365,23.76827,23.38213,24.049456,22.636868,24.271082,22.7649,23.48802,22.463882,23.263882,23.3181,23.930582,23.018665
RPS11,25.142624,24.590961,25.036304,25.252531,26.918245,23.86252,24.156424,23.971018,23.767864,24.130602,24.499296,24.5705,24.523825,24.907122,23.98883,22.51614,24.67659,25.619741,24.430592,24.714867,25.422325,25.44965,25.148586,23.782845,24.0704,23.536594,25.811865,24.165737
FKBP3,23.438437,23.52365,22.887463,23.303034,23.503878,23.008877,23.113747,22.765003,23.21866,23.258066,23.409698,23.218678,23.938938,23.636986,23.268726,22.411808,23.714184,23.81622,24.305323,23.212166,24.453556,23.348314,23.141636,23.499876,23.178629,23.175655,23.03827,23.465366
GPX1,21.212233,24.80485,23.225304,23.792534,23.159712,24.649588,23.265274,22.624475,24.048594,22.53916,23.287043,23.900518,24.64528,23.378717,23.387537,23.877937,23.52971,25.503885,23.355345,24.354103,23.463343,24.131922,23.007322,23.924482,23.09069,23.163605,22.322739,23.145021
LIN7C,22.42567,24.036596,23.711174,23.860508,24.498905,23.074638,23.36674,22.909935,23.13346,23.107252,23.863953,23.576864,23.3806,23.560621,23.679821,23.371193,24.137428,22.767624,24.281246,22.277771,24.281153,23.196737,23.827957,23.682848,24.00532,23.60672,24.082794,24.18619
PSIP1,23.43646,22.703463,23.557201,22.263683,22.57359,20.881739,21.100029,21.214577,21.900879,21.668257,21.695864,23.157848,21.835533,21.779282,21.449696,20.512999,23.083412,21.853416,22.416843,22.446367,23.744331,21.874916,22.578749,20.398764,20.707611,21.36824,23.508965,21.89299
CLIC1,25.173702,24.67155,24.92324,24.234772,24.627077,25.015356,24.73688,23.680817,24.98675,24.632782,24.36459,24.787754,24.904734,24.421795,24.267904,24.207571,22.636894,25.15984,24.273787,25.24962,24.485125,23.959265,23.631071,24.24772,24.625643,23.32375,24.304102,22.618786
CAPRIN1,23.02601,21.370646,22.299408,22.335674,22.80582,20.755152,23.054724,22.061163,20.930239,23.013252,23.355026,23.031069,22.092487,21.979176,20.74184,18.912638,22.92127,21.48071,22.966389,20.606918,22.54775,21.491201,21.464386,20.073011,20.32586,20.3289,22.748356,20.978737
ARPC1B,22.2278,20.97396,22.036135,21.787834,21.918467,20.131517,21.573734,21.426552,22.007408,22.047745,20.958572,22.5493,22.136967,22.474346,22.719982,21.598993,22.925627,22.892738,22.300348,22.230556,23.52817,23.621805,23.27844,22.785845,23.064606,22.289175,22.945166,22.570795
BANF1,22.443903,22.860844,23.833405,23.080948,23.78297,23.142492,23.136595,23.160288,22.77153,21.865503,22.692175,23.653196,22.710749,22.78832,22.587687,21.800577,21.601288,22.5324,23.615831,21.763903,22.243216,20.797794,21.542864,20.681404,21.716759,20.80225,22.072252,21.172972
ASNA1,24.065224,25.403236,25.696072,25.891527,25.049765,23.071959,26.053627,25.374107,23.500267,23.634523,24.340836,24.706347,23.764158,24.671448,23.565031,22.212894,22.174793,23.716415,25.335606,24.141153,23.20124,23.021423,24.511961,24.527649,27.316265,23.636,24.52512,24.685251
ATP6V0A1,23.327923,22.27405,22.928469,21.047655,21.608057,21.433626,22.07535,20.278826,20.653772,22.020958,21.836212,22.58362,22.30123,22.224464,22.825174,19.483467,24.669847,21.54615,22.537525,21.340954,21.673468,22.671394,24.950617,23.532803,22.612806,25.706692,22.74351,26.479908
U2AF1,22.989897,19.062334,22.759611,23.114597,23.02912,21.048475,23.119589,21.137936,21.685751,23.214785,22.28748,21.001198,21.071297,22.411983,21.12343,19.308073,21.895977,21.637463,21.97326,22.11897,23.160658,21.750687,21.94163,21.4426,21.525724,21.718023,22.864906,21.578915
THOP1,20.995687,22.878263,22.751263,23.259789,22.837921,22.715878,22.813696,22.803503,22.297861,23.032906,23.457003,22.354052,22.681442,23.31727,21.771614,22.074501,22.47344,21.406149,23.085949,20.986032,22.241137,19.829168,21.049412,21.864983,21.613392,22.297564,22.047487,21.58502
AGL,21.186563,21.49658,21.549084,22.449581,20.8496,19.93749,21.591461,19.085522,21.238827,22.58405,20.705431,21.426151,20.7206,21.62162,21.428686,20.99449,22.26882,22.030075,21.776707,21.50328,22.008276,21.712364,22.21229,21.178392,23.45631,21.767962,21.70676,22.333157
ATP12A,20.20495,21.266233,19.51006,21.60793,21.180933,19.326054,19.57326,22.711754,19.57356,19.711853,18.12953,21.446049,19.199972,17.90787,18.99071,17.016165,19.375101,17.747925,18.496893,18.44466,19.829702,19.2874,19.646751,19.22743,19.550034,19.38895,19.698046,19.763224
RPS10,24.330082,24.542217,24.420973,24.692152,24.705915,23.952644,24.388624,24.422756,23.81691,24.080776,24.292818,24.421486,24.465672,24.734781,24.222696,21.842165,24.96543,24.262943,25.137959,23.612562,24.698689,23.657726,24.287163,23.11108,23.536871,23.276707,24.623526,23.486813
GLOD4,23.10442,24.203054,23.846552,23.211391,24.338596,23.950043,23.715143,23.056755,23.829681,23.299158,24.223787,23.204956,23.330833,23.230152,22.436451,22.825138,22.901356,23.628874,23.48197,23.036804,23.508078,21.978888,22.514002,23.182692,22.789253,22.333246,23.24719,22.352901
MOGS,21.248135,21.779737,22.90439,23.117105,23.521746,22.267145,23.225227,22.546013,22.852451,22.763695,22.510256,20.929773,22.140442,22.808249,22.328457,16.454357,21.971195,21.125074,22.93789,18.733162,22.809162,22.28164,22.070597,21.504324,22.154646,21.595064,22.210175,21.770636
RPL10,23.525463,23.385534,22.432161,22.758165,21.754698,23.413576,22.9153,22.24143,22.272114,22.032774,21.90949,23.403278,23.007912,22.578218,22.514841,21.705547,23.068155,23.133219,22.84704,22.350449,23.737871,23.798992,23.701946,22.19084,22.599709,23.021389,23.956272,23.029818
GNAQ,21.825794,22.313913,21.95251,22.746035,22.426767,21.834723,22.569681,21.275316,22.989008,22.48428,23.128275,22.065199,22.330912,21.893793,22.84275,22.126831,22.74747,22.157768,22.70498,20.71287,22.527592,23.459793,24.171152,23.749516,22.191502,24.059437,22.619698,24.54789
KRT77,20.23691,20.028267,19.944818,18.470318,17.572786,23.535416,21.062948,21.282366,19.2493,19.428667,20.538834,15.399107,21.583698,22.107111,19.630161,19.420115,20.539696,20.925848,20.8095,24.590479,21.832901,19.762371,20.45099,20.44264,21.908998,21.981363,19.94044,22.798517
YLPM1,21.090181,21.461252,20.182804,22.751762,22.525599,20.865992,22.157272,21.363186,21.571133,23.045204,22.079012,21.086868,21.170916,22.160313,20.539259,19.622427,21.144562,20.763945,21.890717,18.513008,22.898739,21.691957,19.923382,20.861523,20.93884,20.503822,21.482374,19.983109
CNOT1,20.163946,20.208275,21.810057,22.566292,21.430044,21.062527,22.535515,20.933224,21.839973,22.697315,22.051996,21.254564,20.737093,22.605282,20.183056,20.103422,21.96557,22.588606,21.523851,22.620657,22.463175,21.638796,21.496231,20.897627,20.889084,20.884768,22.348322,21.036484
DNPEP,18.945059,22.10641,21.651136,20.883087,22.870249,22.43961,22.19048,20.861803,22.141546,21.111153,22.534071,21.452398,22.296898,22.328602,21.426947,20.68375,22.053144,22.775393,22.408182,20.493048,22.202145,21.370365,21.678072,22.209538,21.924376,21.813683,21.76289,22.40327
NACA,24.137909,24.284904,23.874569,22.999332,23.194817,25.14064,24.301104,24.369257,24.150959,24.220661,24.769289,24.663675,24.397274,24.368769,23.98457,24.092747,24.882805,24.756716,24.40846,24.443872,22.754946,21.98188,22.975824,22.118965,22.39303,21.857517,22.730675,22.63253
UQCRFS1,24.121157,23.982521,24.235275,23.752619,24.39722,23.516829,23.6513,24.08066,24.320065,23.77995,24.656576,23.438292,23.04831,23.029406,23.084217,22.141865,24.032444,23.286997,24.179316,23.19026,24.02817,24.00954,23.984163,23.213917,24.216394,24.54615,23.882717,24.245066
2023-09-06 00:00:00,20.117119,19.794422,19.831482,18.53191,18.60691,19.391907,19.416426,19.133917,19.392939,18.92416,19.410553,19.28639,18.854937,19.269104,18.199312,17.779451,18.867842,18.58952,18.487253,16.489073,18.092882,18.27962,19.425642,17.59799,19.969309,19.592508,18.127048,21.321268
PSME2,22.58063,23.467121,21.459326,23.258205,23.815105,23.127884,21.890917,22.530235,23.88996,23.268776,23.794167,20.908724,23.15666,23.581558,21.520145,22.85346,23.367582,26.072754,23.21759,25.615309,24.144402,23.651611,23.425554,23.39581,23.81967,23.343027,22.94049,24.646221
TRA2B,24.389788,24.520926,23.897284,24.038073,23.06524,23.484589,23.836931,23.362122,24.089735,24.602581,24.041168,23.292023,22.933573,23.623566,23.321613,18.702051,22.349388,21.508959,22.842924,21.054577,25.64613,24.609879,24.653532,23.42918,23.043894,24.135153,25.376497,23.946175
PLXNB2,22.389599,20.92693,21.229296,20.493158,22.014458,22.280931,21.894354,21.290434,22.103151,20.871752,22.404772,21.11832,22.377935,22.76862,22.49758,23.461798,20.760775,22.504618,22.388912,21.426018,22.791042,22.096361,23.115898,22.7428,19.920017,21.87468,22.895502,22.517233
ANK1,22.17301,19.99605,19.0498,20.601915,17.737099,21.85663,21.958565,17.027063,20.964205,21.107622,19.902613,20.529245,20.458807,21.08211,20.356876,20.66004,20.10351,20.34872,18.917978,20.160011,20.39615,20.84165,21.289759,22.730927,23.947357,21.14853,23.41234,21.70228
SGSH,20.999195,22.478561,22.033373,22.00813,22.86093,22.820578,21.084343,21.940788,21.344757,21.485071,23.134926,20.363483,21.190256,21.264109,20.579731,20.873877,19.729326,18.647907,21.032621,20.848988,22.304405,21.21963,22.072824,20.157593,22.26069,18.870817,17.875237,21.152962
CSTB,24.099638,23.932768,24.411629,23.962332,24.111176,23.66814,23.302006,26.142105,23.04411,23.177925,24.053709,24.400433,23.63281,23.974829,24.13433,25.341148,23.752365,24.699966,24.56536,22.901945,23.460482,22.46877,23.298328,24.215794,23.082811,23.577032,23.465714,23.239359
MRC2,17.868416,22.204134,21.865166,23.238115,21.611294,22.328339,22.064672,21.230928,22.438217,22.722656,22.28241,21.147375,21.60173,22.254921,20.188904,17.181005,19.888187,21.241076,21.44976,20.457554,23.84322,22.39058,21.645975,20.859173,22.099354,21.18759,22.204702,21.477282
DNPH1,21.550695,26.611158,23.592094,24.438726,23.398176,25.803272,23.940775,23.06828,25.022987,23.266504,23.78586,22.430374,25.241396,24.259718,21.698112,24.938793,21.705456,22.810366,22.95459,21.968922,23.987864,20.298483,21.43614,23.409632,23.94862,22.921394,21.412003,22.819565
PRDX5,24.258123,23.29921,23.435526,22.413357,23.737204,23.320389,23.438005,23.778572,23.346605,22.953344,23.601349,23.038754,23.244896,23.083466,22.607054,24.535885,22.95904,24.271536,23.556139,23.342194,21.95853,21.799381,22.388948,21.904545,22.860075,22.682482,22.23328,22.774988
PSMD6,21.399769,22.097275,22.922539,22.259129,22.908163,19.418945,21.512985,22.625013,20.146564,21.480824,22.318348,22.642374,21.758944,22.438818,21.905375,19.755442,22.275537,21.36045,22.937166,19.655235,24.02839,22.34298,23.351246,22.58621,22.753958,23.002441,23.662807,23.070143
