,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
TIA1,18.307608,19.676353,20.230803,22.863895,21.763416,20.519604,21.63426,20.274817,20.766106,21.422606,20.780228,20.37971,19.807072,21.288298,19.665836,16.827496,19.984718,16.09564,20.358511,18.229382,21.43017,19.994759,18.888899,17.762585,19.653019,17.53429,20.474503,18.42636
COPZ1,20.228014,20.037466,21.450918,20.509472,20.44924,20.75085,21.575296,22.121399,21.364769,21.332806,21.97076,20.37847,19.041716,19.697975,19.783579,18.297438,19.645811,18.012304,20.71739,18.168804,20.755854,19.067316,19.499784,17.715906,18.782536,17.771011,20.446335,18.675966
BCAS1,22.061987,21.871265,15.331748,15.379281,20.403648,20.79261,19.558298,19.263117,19.58602,18.645805,19.812159,18.537624,20.997824,18.136755,21.188618,18.715534,21.45596,16.21825,18.923153,18.88065,17.452497,19.913216,22.021656,21.525951,19.328728,22.210768,16.021229,19.594666
PREP,20.217564,20.034924,20.644167,21.674732,20.375296,21.174461,21.632397,20.82398,21.438553,21.35349,20.69332,19.957647,19.381975,20.963705,19.38284,18.803165,19.560234,19.48716,19.238016,18.910997,19.435593,18.218266,19.407873,19.396282,19.360973,19.978018,19.656166,21.36948
UHRF1,17.925102,20.006344,18.26038,19.779175,20.360174,19.28657,21.92641,16.992477,18.289627,20.953457,18.705103,18.70647,19.222164,21.50567,18.827646,15.144636,19.88958,19.327787,20.557135,16.876299,21.343199,14.625473,19.63048,18.783966,18.59846,17.16075,20.64252,19.100252
DDTL,22.876196,23.589512,24.323566,23.241407,23.562908,23.063122,22.968828,23.028362,22.740746,23.055809,23.94859,22.634155,22.525984,23.308329,22.194899,23.17772,21.890356,23.104511,22.842157,20.490734,23.900545,21.882719,22.879978,24.14111,24.046753,23.67437,22.361404,23.419436
C1QC,21.588682,20.8722,21.601294,22.67811,21.154,21.258224,22.866796,19.395876,21.003069,22.587307,20.208517,22.131569,21.06006,22.881197,24.151613,20.122917,22.558405,23.127346,18.133675,20.618505,22.705828,23.50218,22.985336,23.410866,22.247446,23.86017,21.887465,22.151924
RPL27,24.32703,22.894371,23.55721,22.95111,23.690985,20.886242,22.52471,22.238556,22.021984,22.43762,22.843323,22.614416,22.171902,22.669912,21.250736,20.805744,22.567581,23.172546,22.99768,22.230368,23.850777,23.46327,23.630259,22.256763,22.852995,22.6039,24.489014,22.298433
GOLGA2,20.101807,17.15946,19.90982,20.223057,20.351105,19.295824,20.401045,19.44305,20.070883,20.269537,20.561531,19.308155,20.387894,20.637545,18.787096,19.367516,19.915829,20.317423,20.773386,17.861195,19.82134,20.612816,19.878387,18.293463,16.92639,19.287424,20.479197,17.15673
TAOK1,21.070581,20.216787,20.523638,20.476147,21.026789,20.152468,20.57236,20.062939,20.731937,20.405487,21.339352,20.859083,21.020172,20.72953,19.930155,18.52359,20.776413,19.508366,21.052572,16.597416,21.93793,21.576418,21.798113,20.910507,19.7152,21.264534,21.508604,21.45953
ACP1,20.716377,20.527351,20.985304,20.030846,19.855429,21.590494,21.93122,21.404367,22.049076,21.481943,21.740248,21.371479,22.658892,22.123888,21.384127,20.336374,21.554695,23.408396,20.79616,21.931723,21.892717,20.707916,21.371622,21.03473,21.319384,21.928728,22.339943,21.730991
SSR1,22.228611,21.600838,22.162748,21.067955,22.250406,21.921253,22.016272,22.344227,21.784485,21.586756,21.719004,21.809977,21.327799,21.571344,21.255747,20.796465,21.188745,21.476128,21.54083,21.291124,22.494844,21.97263,21.931,20.174725,20.50587,19.810139,21.986084,19.456043
SNRPGP15,20.199585,18.943626,21.099277,21.542131,20.897892,19.331692,19.58822,20.091196,17.277617,17.590134,19.831879,21.041706,21.505615,21.255707,20.87295,15.037511,19.960447,19.809792,21.983524,17.91753,21.08005,18.904902,20.016914,19.227058,19.366358,18.664045,19.82271,19.579762
SLC7A5,21.09495,20.528103,20.462078,21.03955,19.344975,19.041565,21.1239,19.277727,21.153896,22.280018,20.994808,21.177195,20.431795,21.365545,21.850458,22.97608,21.975452,20.456373,19.494965,17.230654,22.160408,20.817009,21.91098,21.342007,21.924925,21.956314,22.053562,22.719862
RBP4,21.973537,20.977709,21.72509,22.801493,22.16375,20.076553,21.381058,20.350653,19.854832,21.724028,21.636904,21.437534,19.837877,21.961876,20.558842,19.073387,23.065634,22.554525,21.788502,21.880695,22.1225,22.05675,22.458107,21.946066,21.049503,23.305464,20.5814,20.795898
HMOX1,20.503881,19.860195,19.314493,20.252111,20.384676,18.994818,16.917336,22.201403,19.544764,16.982904,19.939745,21.077324,19.939762,19.289124,22.97895,19.407406,20.157797,22.022142,20.652573,19.508652,18.562721,21.101185,20.717957,20.555172,18.691877,20.64096,19.607048,19.767387
PLD3,23.451778,23.258799,19.80247,19.681637,19.935562,23.27219,22.277784,22.444376,22.426622,20.709932,22.108898,19.32757,22.200945,20.15697,20.58821,18.411009,21.425142,22.674295,20.478693,22.750593,20.12763,21.217293,21.345083,21.104204,21.084032,21.73714,21.305634,21.551788
CHMP4B,21.471058,21.986185,23.24957,22.235054,23.484987,21.905811,23.020386,22.859913,22.584692,22.102896,23.340025,23.252245,21.652674,22.187181,21.806171,20.728285,22.04959,22.008144,22.74706,21.074306,24.13273,23.378054,23.545061,23.212212,23.072266,22.888975,23.015368,23.295204
NFIC,22.21679,22.080091,22.171371,22.281757,22.517427,21.439604,21.67943,21.406973,21.647182,21.710865,21.86442,21.62502,21.427832,21.577316,21.242085,20.498936,21.57087,21.7091,21.801277,21.02201,21.977089,21.439455,21.761158,21.405802,21.477713,21.644411,21.858831,21.760162
EHD4,19.798431,20.168457,21.551416,22.179392,19.808777,20.426031,22.317364,20.249739,21.846544,22.296854,19.816263,21.928265,21.16785,22.845585,21.501625,19.646927,21.853146,22.204239,21.624022,20.614702,21.024698,21.325764,21.177238,20.94959,21.610744,21.06099,20.12023,18.234798
IGFBP5,21.113836,19.70806,22.045897,19.269342,20.776361,17.12981,17.88086,18.484352,18.608942,19.370548,19.05232,20.635588,18.956673,18.720371,20.15347,19.257067,18.81574,18.344833,20.796274,15.624242,21.333004,19.404255,21.437477,19.291912,19.336187,21.302364,22.551502,20.606714
NLGN4X,20.13383,19.910072,20.739456,18.903582,19.27221,19.492563,20.233418,18.373363,19.665827,19.82483,19.901236,20.865723,18.705326,20.016571,19.255157,18.165718,18.954174,19.36399,19.39139,18.820438,19.976974,19.582891,20.157608,19.06762,19.241703,19.705366,20.191803,19.34453
UMPS,19.45413,21.36487,21.384235,22.420183,22.75547,21.460665,22.039553,21.945694,21.448467,21.831934,22.304945,21.175175,21.949654,22.19618,20.44026,20.834772,21.116808,21.725857,21.738039,20.081982,21.84403,20.274725,21.019825,21.020926,21.352041,21.087526,21.522758,20.73377
TAPBP,20.19051,18.393938,19.945333,19.425323,21.6381,19.306795,14.793546,20.656586,15.442165,17.00594,20.791834,18.512512,18.783018,18.196564,18.807589,18.234077,18.996574,19.35557,21.19136,18.500381,21.9214,21.740658,21.275911,19.53093,20.297665,20.538582,20.521805,21.60385
TSG101,20.881907,21.201607,21.374908,21.476648,21.790583,21.004148,21.598759,21.541355,21.71227,21.396767,21.997116,20.832869,20.705362,21.479511,20.71143,20.768671,20.960619,20.869257,21.291962,18.796862,22.054281,21.24369,21.790865,21.082495,20.926514,21.270178,22.204687,21.560995
NAV1,19.909182,18.567495,19.380594,21.44499,19.42081,18.298105,19.07583,20.376255,18.49712,20.92047,20.385149,20.606955,16.811167,20.454687,20.183302,14.408153,20.806767,19.663431,21.277143,18.839514,20.378935,19.764105,20.513153,19.029964,18.276138,19.207804,18.992529,19.72102
